ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1961/1944,0.122,0.000,0.529,0.000,{built-in method builtins.__build_class__}
579/28,0.005,0.000,3.455,0.123,{built-in method builtins.__import__}
75157,0.030,0.000,0.030,0.000,{built-in method builtins.abs}
35349,0.104,0.000,0.294,0.000,{built-in method builtins.all}
194,0.001,0.000,0.003,0.000,{built-in method builtins.any}
11783,0.007,0.000,0.007,0.000,{built-in method builtins.callable}
1010,0.000,0.000,0.000,0.000,{built-in method builtins.chr}
481,0.076,0.000,0.076,0.000,{built-in method builtins.compile}
11,0.000,0.000,0.000,0.000,{built-in method builtins.delattr}
21,0.001,0.000,0.001,0.000,{built-in method builtins.dir}
364,0.000,0.000,0.000,0.000,{built-in method builtins.divmod}
49,0.011,0.000,0.011,0.000,{built-in method builtins.eval}
1320/8,0.018,0.000,3.584,0.448,{built-in method builtins.exec}
159550,0.107,0.000,0.109,0.000,{built-in method builtins.getattr}
1319,0.001,0.000,0.001,0.000,{built-in method builtins.globals}
19838/19827,0.022,0.000,0.029,0.000,{built-in method builtins.hasattr}
22432/22000,0.019,0.000,0.020,0.000,{built-in method builtins.hash}
2,0.000,0.000,0.000,0.000,{built-in method builtins.hex}
50,0.000,0.000,0.000,0.000,{built-in method builtins.id}
2875198,1.184,0.000,1.318,0.000,{built-in method builtins.isinstance}
474813,0.266,0.000,0.266,0.000,{built-in method builtins.issubclass}
30031,0.020,0.000,0.020,0.000,{built-in method builtins.iter}
388171/370464,0.218,0.000,0.254,0.000,{built-in method builtins.len}
5,0.000,0.000,0.000,0.000,{built-in method builtins.locals}
550,0.035,0.000,0.035,0.000,{built-in method builtins.max}
5454,0.005,0.000,0.005,0.000,{built-in method builtins.min}
95,0.000,0.000,0.013,0.000,{built-in method builtins.next}
5726,0.002,0.000,0.002,0.000,{built-in method builtins.ord}
11,0.000,0.000,0.000,0.000,{built-in method builtins.print}
90,0.000,0.000,0.000,0.000,{built-in method builtins.repr}
12,0.000,0.000,0.000,0.000,{built-in method builtins.round}
1862136,0.759,0.000,0.761,0.000,{built-in method builtins.setattr}
